Supplier_Name,Product_Name,Product_Url,Price,Lat,Lng
Cars,2024 Toyota Fortuner 2.8 Gd-6 Vx Auto,https://www.cars.co.za/for-sale/new/2024-Toyota-Fortuner-2.8-GD-6-VX-Auto-Gauteng-Johannesburg/9713815/,"749,900.00",-26.1889,28.12471
Kingofcarspremium,2022Toyota Urban Cruiser 1.5 Xs A/T,https://www.kingofcarspremium.co.za/used-vehicles?search=eyJLS0siOiIiLCJDSUQiOjIzNzkyLCJESURTIjpbIjIiXSwiTUlEcyI6WyI0Il0sIk1JRHNldCI6W10sIm5ld01ha2VJRHNldCI6W10sIm1ha2VFeGNlcHQiOltdLCJNT0lEcyI6W10sIlZJRHMiOltdLCJQQiI6W10sIklCIjpbXSwiTUJzIjpbXSwicGFnIjowLCJwYWdTaXplIjoxMiwib2YiOiJQcmljZSIsIm9iZCI6IlRydWUiLCJ0cmFuIjpbXSwiZnQiOltdLCJ5ZXIiOltdLCJzcCI6IlllcyIsImRzIjpbXSwiZWRzIjoiIiwic2lpIjoiRmFsc2UiLCJsdGRzIjpbXSwibHRmZCI6MCwiZXhmZCI6MCwiSWdub3JlUmVmbGVjdGlvbiI6IkZhbHNlIiwiU2hhcGVJRHMiOltdfQ==,"299,950.00",-26.1784,28.26103
Rayashop,"Hp Victus 15-Fb0048Ne Gaming Laptop, Amd Ryzen 5-5600H Processor, 15.6 Inch Fhd Display, 512 Gb Ssd, 8 Gb Ram Ddr4, Amd Radeon Graphics, Dos - Blue",https://www.rayashop.com/en/hp-victus-15-fb0048ne-gaming-laptop-amd-ryzen-5-5600h-processor-156-inch-fhd-display-512-gb-ssd-8-gb-ram-ddr4-amd-radeon-graphics-dos-blue-1,"33,500.00",30.07974,31.01883
Btech,"Hp 15-Fd0068Ne Laptop, Intel Core-I7-1355U, 512Gb Ssd, 8Gb Ram, 15.6 Inch, Fhd Ips Display, Nvidia Geforce Mx570 2Gb , Dos- Natural Silver",https://btech.com/en/hp-15-fd0068ne-laptop-i7-1355u-512gb-ssd-8gb-ram-15-6-inch-nvidia-geforce-mx570-2gb-dos-silver.html,"36,999.00",30.02975,31.46953
Egyptlaptop,Hp Probook 450 G9 Intel Core I7-1255U 512Gb Ssd 8Gb Ram Nvidia Geforce Mx570 2Gb 15.6'' Inch Hd,https://egyptlaptop.com/laptops/hp-probook-450-g9-intel-core-i7-1255u-512gb-ssd-8gb-ram-nvidia-geforce-mx570-2gb-15-6-inch-hd,"43,499.00",30.04804,31.23539
2B,Hp 15S-Fq5043Ne Laptop - Intel® Core™ I7-1255U - 8Gb - 512Gb Ssd - Intel® Iris® Xᵉ Graphics - 15.6" Fhd - Win11 - Natural Silver,https://2b.com.eg/en/hp-15s-fq5043ne-laptop-intelr-coretm-i7-1255u-8gb-512gb-ssd-intelr-irisr-x-graphics-15-6-fhd-win11-natural-silver.html,"31,999.00",30.04785,31.3514
Yas,"Hp Zbook 15 Studio G5 Laptop Intel Core I7 8Th , Nvidia Quadro P1000 4Gb Gddr5 , 15.6"" Fhd 16Gb Ram ,512Gb Ssd M.2 Window 10",https://www.yas-eg.com/products/dell-zbook-15-studio-g5-laptop-intel-core-i7-8th-nvidia-quadro-p1000-4gb-gddr5-15-6-fhd-16gb-ram-512gb-ssd-m-2-window-10?_pos=4&_sid=854c19edf&_ss=r,"23,999.00",31.22749,31.63166
Switchplus,Iphone 15 Pro,https://switchpluseg.com/item/97160?name=iPhone-15-Pro%E2%80%8F%E2%80%8F%E2%80%8F%E2%80%8F,"59,990.00",30.04857,31.20466
Tv-It,Apple Iphone 15 Pro Max 256Gb 8Gb Ram 5G 6.7 Inches - Facetime,https://tv-it.com/products/apple-iphone-15-pro-256gb-8gb-ram,"66,000.00",30.08979,31.30897
Techmartme.,Apple Iphone 15 Pro,https://techmartme.com/shop/iphones/iphone-15-line-up/apple-iphone-15-pro/,"65,555.00",30.01454,31.20818
Pricena,Apple Iphone 15 Pro Max,https://eg.pricena.com/en/product/apple-iphone-15-pro-max-price-in-egypt,"66,000.00",25.12286,56.32297
Ezone,Iphone 15 Pro Max,https://ezone-eg.com/iphone-15-pro-max/,"62,999.00",30.04471,31.19694
Homecentre,Peyton 4-Seater Fabric Right Corner Sofa,https://www.homecentre.com/eg/en/buy-peyton-4seater-fabric-right-corner-sofa/p/163643345,"64,999.00",30.02901,31.40759
Lacasa,Katie Wooden Sofa Grey,https://lacasa-egy.com/product-details/katie-wooden-sofa-grey?category=living-room,"10,920.00",30.00863,31.42791
Hubfurniture,Beige L-Shaped Sofa,https://hubfurniture.com.eg/en/living-room-furniture/beige-l-shaped-sofa,"49,950.00",30.09454,31.3286
Divano,Flow Sofa 3 Seaters,https://www.divano.com.eg/product/sofa-3-seater-flow-sofa/,"50,100.00",30.0884,31.36795
Noon,Storage Sofa Bed Dark-Grey 120 X 200Cm,https://www.noon.com/egypt-en/storage-sofa-bed-dark-grey-120-x-200cm/N51430103A/p/?o=df48b667beec86af,"4,999.00",30.03713,31.21496
